CourseMnemonic,OutcomeDescription,IsActive
ds5001,Understand and use language models such as bag of words,True
ds5001,Understand and use vector space models,True
ds5001,Understand how to measure similarity between documents,True
ds5001,Understand how Principal Component Analysis (PCA) works,True
ds5001,Understand and use topic models such as Latent Dirichlet Allocation (LDA),True
ds5001,Understand and use word embedding such as glove and word2vec,True
ds5001,Understand and use sentiment analysis such as VADER,True
ds5001,Understand and use Naive Bayes classification,True
cs5012,Have a working knowledge of parallel computing and apply this knowledge for improved computing efficiency,True
cs5012,"Select, Computationally Assess, and Deploy appropriate and efficient data structures and algorithms to solve Data Science problems",True
cs5012,"Define and Use Logic, Data Structures, and Algorithms to Solve Problems ",True
cs5012,"Connect, Transform, and Reduce Real-World Problems to Classical Problem Frameworks to make use of existing, efficient algorithmic solutions",True
cs5012,Independently Explore advanced or supplementary topics to attain a deeper and complimentary understanding of topics,True
cs5012,"Reflect on peer-feedback, instructor-feedback, experiences, and lessons-learned related to the use of data structures and algorithms to make continual improvements and updates to methodologies applied ",True
cs5012,Have a working knowledge of the Algorithm Complexity Class Hierarchy in order to gain perspective of the scope of the field and its contextual application to Data Science ,True
cs5012,Design and understand regular expressions for pattern matching,True
cs5012,Understand the important considerations for proper database design,True
ds5100,Basic Dataframe operations (Python and R),True
ds5100,Clone a repo on GitHub,True
ds5100,Confidently work in an appropriate programming environment (IDE),True
ds5100,Confidently write a class and call its methods to simulate a scenario,True
ds5100,Confidently write and call functions in both Python and R,True
ds5100,Correctly pass parameters and retrieve function output(s),True
ds5100,"Data structures (e.g., sequences and collections: set, list, dict, tuple)",True
ds5100,Demonstrate how methods are inherited from base classes,True
ds5100,"Essential primitives (e.g., bool, int, float)",True
ds5100,Find and utilize resources including online documentation,True
ds5100,"I/O: at least three different formats, including csv, txt, JSON",True
ds5100,Identify and utilize primitive data types and data structures [Built in],True
ds5100,Import data into a Pandas Dataframe,True
ds5100,Incorporating some exception handling,True
ds5100,"NumPy, Pandas (essentials)",True
ds5100,Patch/debug broken code,True
ds5100,Patch/debug code using in-line testing and unit testing (advanced),True
ds5100,"Perform sensitivity analysis on functions (e.g., changing inputs and measuring impact on outputs)",True
ds5100,Perform simple mathematical calculations (Python and R),True
